tier,item_id,config,signal,scenario_text,answer_explanation,feedback_text,,,,,,,,,,,,,,,,,,,,,
basic,1,🔴,red,我寫了一段話，請 AI 幫我修飾得更漂亮，但我交給老師時沒說有請 AI 幫忙。,未標註 AI 協助即違反誠信原則。,「雖然改寫是好事，但『隱瞞』AI 的幫助會讓你的誠信打折喔！誠實說出誰幫了你，才是負責任的表現。」,,,,,,,,,,,,,,,,,,,,,
basic,2,🟢,green ,我請 AI 幫我練習英文對話，因為我不敢跟外國人說話。,這是極佳的個人化練習，屬於綠燈。,「別擔心！AI 是最耐心的練習夥伴，它不會笑你說錯。這就像請一位 24 小時的家教陪你練習一樣棒喔！」,,,,,,,,,,,,,,,,,,,,,
basic,3,🔴,red,我把考卷題目拍下來給 AI 幫我解答，我想看它怎麼寫。,上傳考題取代核心思辨，屬於原則禁止。,「直接看答案雖然快，但你的大腦就失去練習『思考體操』的機會了！這會讓你真正的實力無法進步喔。」,,,,,,,,,,,,,,,,,,,,,
basic,4,🟢,green ,我請 AI 翻譯英文繪本，但我會對照字典檢查對不對。,有經過人工查證，是輔助理解。,「沒錯！利用 AI 幫忙閱讀是聰明的，但記得你才是最後的檢查員，對照字典的你更有判斷力！」,,,,,,,,,,,,,,,,,,,,,
basic,5,🟢,green ,我請 AI 把老師上課的語音轉成逐字稿方便整理筆記。,屬於工具協助整理資訊，是綠燈。,「這是善用科技省下體力活！省下的時間可以用來思考老師講的內容，而不是忙著低頭抄寫喔。」,,,,,,,,,,,,,,,,,,,,,
basic,6,🟢,green ,準備班會時，請 AI 幫忙發想 5 個趣味遊戲點子。,用於創意激盪與初步構思是正向使用。,「點子永遠不嫌多！AI 可以給你靈感，但最後決定怎麼玩、怎麼帶活動的人還是你，這就是創意合作！」,,,,,,,,,,,,,,,,,,,,,
basic,7,🔴,red,我把同學吵架的過程告訴 AI，請它幫我寫一段嘲笑他的話。,利用 AI 進行霸凌或傷害是絕對禁止。,「文字是有重量的。利用強大的 AI 來傷害或嘲笑別人，會造成很大的傷害，這絕對不是好公民的行為。」,,,,,,,,,,,,,,,,,,,,,
basic,8,🔴,red,我把家裡的地址傳給 AI，請它幫我規劃到公園的路線。,洩漏個資（隱私資料）具有資安風險。,「小心！AI 就像一個大腦袋，它會記住你告訴它的事。把家裡地址告訴它，可能會讓你的個人隱私流出去喔。」,,,,,,,,,,,,,,,,,,,,,
basic,9,🟢,green ,我請 AI 針對這週教的自然內容，出幾題複習題考考我。,屬於自主檢測學習成效的良好方式。,「太棒了！讓 AI 當你的出題老師，可以幫你發現哪裡還沒學會。主動測驗的人學習效果最好！」,,,,,,,,,,,,,,,,,,,,,
basic,10,🔴,red,我請 AI 代寫一整篇讀書心得，因為我真的寫不出來。,整篇代寫完全取代思考，是紅燈。,「雖然心得難寫，但那是你跟書本的對話。讓 AI 代寫，這份作品就沒有你的靈魂，也失去了學習的意義。」,,,,,,,,,,,,,,,,,,,,,
