id,theme,character,scene,prop,src,prompt_en,prompt_zh,desc_kid
sci_robot_spaceship_glasses,scifi,robot,spaceship,glasses,./assets/images/sci_robot_spaceship_glasses.webp,"a cute friendly robot inside a futuristic spaceship control room, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_robot_spaceship_laser,scifi,robot,spaceship,laser,./assets/images/sci_robot_spaceship_laser.webp,"a cute friendly robot inside a futuristic spaceship control room, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在未來太空船的控制室裡，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在未來太空船的控制室裡，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_robot_spaceship_holopad,scifi,robot,spaceship,holopad,./assets/images/sci_robot_spaceship_holopad.webp,"a cute friendly robot inside a futuristic spaceship control room, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在未來太空船的控制室裡，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在未來太空船的控制室裡，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_robot_spaceship_jetpack,scifi,robot,spaceship,jetpack,./assets/images/sci_robot_spaceship_jetpack.webp,"a cute friendly robot inside a futuristic spaceship control room, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在未來太空船的控制室裡，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在未來太空船的控制室裡，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_robot_cybercity_glasses,scifi,robot,cybercity,glasses,./assets/images/sci_robot_cybercity_glasses.webp,"a cute friendly robot on a neon cyberpunk city street, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_robot_cybercity_laser,scifi,robot,cybercity,laser,./assets/images/sci_robot_cybercity_laser.webp,"a cute friendly robot on a neon cyberpunk city street, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_robot_cybercity_holopad,scifi,robot,cybercity,holopad,./assets/images/sci_robot_cybercity_holopad.webp,"a cute friendly robot on a neon cyberpunk city street, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_robot_cybercity_jetpack,scifi,robot,cybercity,jetpack,./assets/images/sci_robot_cybercity_jetpack.webp,"a cute friendly robot on a neon cyberpunk city street, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_robot_moonbase_glasses,scifi,robot,moonbase,glasses,./assets/images/sci_robot_moonbase_glasses.webp,"a cute friendly robot at a moon base with the Earth in the sky, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_robot_moonbase_laser,scifi,robot,moonbase,laser,./assets/images/sci_robot_moonbase_laser.webp,"a cute friendly robot at a moon base with the Earth in the sky, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_robot_moonbase_holopad,scifi,robot,moonbase,holopad,./assets/images/sci_robot_moonbase_holopad.webp,"a cute friendly robot at a moon base with the Earth in the sky, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在月球基地，遠遠看著地球，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在月球基地，遠遠看著地球，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_robot_moonbase_jetpack,scifi,robot,moonbase,jetpack,./assets/images/sci_robot_moonbase_jetpack.webp,"a cute friendly robot at a moon base with the Earth in the sky, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在月球基地，遠遠看著地球，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在月球基地，遠遠看著地球，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
