character_id,scenario_id,scenario_title,scenario_icon,scenario_situation,character_says,option_id,option_text,is_best,ai_response,explanation,tip
zhi,zhi_1,直播被觀眾嗆聲,📹,"你正在開直播分享心得，有觀眾留言說「你的內容好無聊」，你不知道該怎麼回應才不失風度。","哎呀～我的直播被酸了！要怎麼問 AI，才能讓它教我冷靜又有風度的回應方式呢？",A,直播被人嗆怎麼辦？,0,"AI 回覆：請問你說的是哪一種狀況呢？是現場直播被嗆？還是留言被嗆？我需要更多細節才能給你建議。","太模糊囉！AI 不知道是哪一類嗆聲，也不知道你的年紀和直播性質。","缺少：直播主題＋年級＋你想要的回應種類"
zhi,zhi_1,直播被觀眾嗆聲,📹,"你正在開直播分享心得，有觀眾留言說「你的內容好無聊」，你不知道該怎麼回應才不失風度。","哎呀～我的直播被酸了！要怎麼問 AI，才能讓它教我冷靜又有風度的回應方式呢？",B,"我是國小生，剛剛在直播分享閱讀心得，有觀眾留言「你的內容好無聊」。請給我 3 種冷靜又有風度的回應方式，每種附 1 句使用情境說明。",1,"AI 回覆：好的！這裡是 3 種有風度的回應：① 感謝建議型：「謝謝你提醒我，下次我會準備更有趣的內容！」（適合對方語氣其實沒有惡意時）② 邀請對話型：「那你最想聽我聊什麼呢？」（適合想把酸民變粉絲時）③ 幽默化解型：「也許下一段你會喜歡，留下來看看吧～」（適合氣氛輕鬆的直播）","太棒了！你說明了年級、直播主題、情境，還明確要 3 種有風度的回應，AI 就能精準幫忙！","包含：身份＋場景＋明確需求＋格式"
zhi,zhi_1,直播被觀眾嗆聲,📹,"你正在開直播分享心得，有觀眾留言說「你的內容好無聊」，你不知道該怎麼回應才不失風度。","哎呀～我的直播被酸了！要怎麼問 AI，才能讓它教我冷靜又有風度的回應方式呢？",C,教我罵回去！,0,"AI 回覆：我不能教你罵人喔，但我可以幫你想冷靜又能讓對方反思的話。要不要我給你建議？","等等！罵回去只會讓場面更糟，AI 也會拒絕。應該換個有禮貌的方向問。","缺少：理性目標。提問時把情緒先放一邊"
zhi,zhi_2,想拍新主題卻沒靈感,🎬,"你想拍一支新的搞笑短片給朋友看，但完全沒有靈感，腦袋一片空白。","我超想拍新影片但腦袋空空！要怎麼讓 AI 給我超有趣的點子呢？",A,給我點子！,0,"AI 回覆：哪一類點子呢？影片、文章、料理還是遊戲？請給我更多方向～","太籠統了！AI 不知道你要做什麼，也不知道你的程度。","缺少：作品形式＋主題＋風格"
zhi,zhi_2,想拍新主題卻沒靈感,🎬,"你想拍一支新的搞笑短片給朋友看，但完全沒有靈感，腦袋一片空白。","我超想拍新影片但腦袋空空！要怎麼讓 AI 給我超有趣的點子呢？",B,"我國小生，喜歡校園、寵物、料理三個主題。請給我 5 個適合拍 1 分鐘搞笑短片的題目，每個題目附 1 句拍攝建議。",1,"AI 回覆：給你 5 個點子！① 寵物挑食大評比：拍三種食物給寵物吃看牠選誰（記得在安全範圍）② 文具開箱不負責任：把鉛筆當麥克風裝逼播報③ 上學前 30 秒求生指南：忘記帶東西的搶救流程④ 廚房安靜做料理：不能發出聲音切水果挑戰⑤ 朋友模仿大賽：模仿三位朋友的口頭禪","太強了！主題、長度、形式、年齡都說了，AI 就能直接給靈感。","包含：年齡＋主題範圍＋作品長度＋條列需求"
zhi,zhi_2,想拍新主題卻沒靈感,🎬,"你想拍一支新的搞笑短片給朋友看，但完全沒有靈感，腦袋一片空白。","我超想拍新影片但腦袋空空！要怎麼讓 AI 給我超有趣的點子呢？",C,直接寫一支影片給我啦,0,"AI 回覆：給你一個劇本：旁白：「今天要分享...」（自動產生 500 字劇本）","等等！讓 AI 整篇代寫，影片就不是你的創意囉。應該請 AI 給方向、不是代寫。","缺少：請 AI 給方向而非代寫的明確要求"
zhi,zhi_3,數學考砸想趕快進步,➗,"數學小考考很差，你想趕快加強，希望能在下一次考試前進步。","我快被數學氣死！要怎麼問 AI，才能讓我快速進步？",A,教我數學！,0,"AI 回覆：請問是哪個年級、哪個單元呢？我才能給你合適的題目喔！","太空泛囉！AI 不知道你要練哪個單元，也不知道你的程度。","缺少：年級＋單元＋練習方式"
zhi,zhi_3,數學考砸想趕快進步,➗,"數學小考考很差，你想趕快加強，希望能在下一次考試前進步。","我快被數學氣死！要怎麼問 AI，才能讓我快速進步？",B,"我國小四年級，想練習「兩位數除法」。請出 5 題從簡單到難的題目，先不要給答案，等我寫完再給我講解。",1,"AI 回覆：好的！以下是 5 題練習，先不公布答案：① 96÷4 ② 84÷6 ③ 91÷7 ④ 78÷3（會有餘數）⑤ 95÷4（會有餘數）。算完跟我說答案，我再幫你檢查並講解錯的地方喔！","完美！年級、單元、題數、教學節奏都說明了，AI 就能像家教一樣陪你練。","包含：年級＋單元＋題數＋教學節奏"
zhi,zhi_3,數學考砸想趕快進步,➗,"數學小考考很差，你想趕快加強，希望能在下一次考試前進步。","我快被數學氣死！要怎麼問 AI，才能讓我快速進步？",C,把這張考卷的答案告訴我！,0,"AI 回覆：抄答案不會讓你進步喔～要不要我陪你一起算？","抄答案就違反誠信，而且下一次還是不會！這就是紅燈行為。","缺少：誠實學習的態度。抄答案絕對不可以"
ke,ke_1,檢查作業怕有錯字,✅,"你寫完一篇 200 字的讀書心得，怕有錯字、語句不通順，但又不想被 AI 整個改掉。","我寫完心得了，但好怕有錯字。要怎麼請 AI 幫我檢查比較好呢？",A,幫我改這篇,0,"AI 回覆：好的，以下是改寫後的版本：「這本書讓我學到很多寶貴的道理...（整段重寫）」","小心！這樣 AI 會直接幫你重寫，作品就不是你自己的了。","缺少：限定 AI 的角色，要請它「指出」而不是「幫改」"
