asset_id,scenario_id,asset_type,target_size,midjourney_prompt,dalle_prompt,sd_prompt,final_path,status
jiji_stop,_global,narrator_pose,800x1000 PNG transparent,"cute chubby cartoon chick mascot with anthropomorphic body and arms, pastel pale yellow body, wearing brown studio headphones, orange bow tie, round orange cheek blushes, brown outline, hand drawn storybook line illustration, both arms raised making a stop hand gesture with palms facing forward, alert serious expression slight frown, standing upright, transparent background, 3:4 vertical portrait, soft warm palette --ar 3:4 --v 6","請畫一隻可愛擬人化的卡通小雞角色（站立有手臂）：奶黃色身體，戴著棕色耳機，橘色蝴蝶結，雙頰橘色圓腮紅，棕色描邊手繪繪本風格，雙手往前做出停止手勢（手掌朝前），表情認真警覺、眉頭略皺，透明背景，直式 3:4 比例","chubby anthropomorphic chick mascot, pale yellow, brown headphones, orange bow tie, blush cheeks, brown outline, hands stop gesture palms forward, transparent bg, 3:4",assets/images/narrator/jiji_stop.webp,待生成
jiji_check,_global,narrator_pose,800x1000 PNG transparent,"same chick character design as previous, anthropomorphic body and arms, holding a large round magnifying glass close to face peering forward, the other hand resting beside body, curious focused detective expression looking for clues, body slightly leaning forward, brown headphones, orange bow tie, blush cheeks, brown outline, hand drawn storybook style, transparent background, 3:4 vertical portrait --ar 3:4 --v 6","同一隻擬人化小雞角色，一手拿著圓形大放大鏡靠近臉部往前看、另一手垂於身側，表情專注好奇像在找破綻的偵探，身體略向前傾，棕耳機橘領結橘腮紅棕描邊手繪風格，透明背景，3:4 直式立繪","anthropomorphic chick, magnifying glass forward, detective expression searching, transparent bg, 3:4",assets/images/narrator/jiji_check.webp,已生成（沿用 jiji_thinking）
jiji_ask,_global,narrator_pose,800x1000 PNG transparent,"same chick character design as previous, anthropomorphic body and arms, one hand raising a microphone toward upper side as if interviewing someone, other hand pointing into the distance, determined confident expression beak slightly open like speaking, energetic forward leaning pose, brown headphones, orange bow tie, blush cheeks, brown outline, hand drawn storybook style, transparent background, 3:4 vertical portrait --ar 3:4 --v 6","同一隻擬人化小雞角色，一手舉起麥克風朝向側上方（像在訪問人）、另一手指向遠方，表情堅定自信、嘴喙微張像在發問，身體積極前傾，棕耳機橘領結橘腮紅棕描邊手繪風格，透明背景，3:4 直式立繪","anthropomorphic chick, microphone raised interviewing, pointing hand, determined, transparent bg, 3:4",assets/images/narrator/jiji_ask.webp,待生成
jiji_cheer,_global,narrator_pose,800x1000 PNG transparent,"same chick character design as previous, anthropomorphic body and arms, both arms raised high in a cheering pose, one fist pumped, big happy smile open mouth, sparkling eyes, energetic stance full of vitality, brown headphones, orange bow tie, blush cheeks, brown outline, hand drawn storybook style, transparent background, 3:4 vertical portrait --ar 3:4 --v 6","同一隻擬人化小雞角色，雙手高舉呈現「準備出發」姿勢（一手握拳上揚），開心張嘴大笑、眼睛閃亮，整體姿態充滿活力，棕耳機橘領結橘腮紅棕描邊手繪風格，透明背景，3:4 直式立繪","anthropomorphic chick, both arms raised cheering, happy smile, sparkling eyes, transparent bg, 3:4",assets/images/narrator/jiji_cheer.webp,已生成
jiji_thinking,_global,narrator_pose_optional,800x1000 PNG transparent,"same chick character design, anthropomorphic body and arms, one hand holding a large magnifying glass close to face peering forward searching for flaws, other hand at side, focused detective expression looking for breakpoints, brown headphones, orange bow tie, blush cheeks, brown outline, hand drawn storybook style, transparent bg, 3:4 --ar 3:4 --v 6","同一隻擬人化小雞角色，一手拿放大鏡靠近臉部往前觀看，找破綻的專注表情，另一手垂於身側，棕耳機橘領結橘腮紅，透明背景，3:4 直式立繪","anthropomorphic chick, magnifying glass searching, detective, transparent bg, 3:4",assets/images/narrator/jiji_thinking.webp,已生成
jiji_surprised,_global,narrator_pose_optional,800x1000 PNG transparent,"same chick character design, anthropomorphic body and arms, beak wide open both hands holding head, surprised shocked expression, brown headphones orange bow tie blush cheeks, transparent bg, 3:4 hand drawn storybook style --ar 3:4 --v 6","同一隻擬人化小雞角色，嘴喙張大、雙手抱頭，驚訝的表情，棕耳機橘領結橘腮紅，透明背景，3:4 直式立繪","anthropomorphic chick, surprised hands on head, transparent bg, 3:4",assets/images/narrator/jiji_surprised.webp,已生成
jiji_proud,_global,narrator_pose_optional,800x1000 PNG transparent,"same chick character design, anthropomorphic body and arms, arms crossed slight smug smile raised eyebrow, confident proud pose, brown headphones orange bow tie blush cheeks, transparent bg, 3:4 hand drawn storybook style --ar 3:4 --v 6","同一隻擬人化小雞角色，雙手交叉抱胸、微笑挑眉，得意自信的姿態，棕耳機橘領結橘腮紅，透明背景，3:4 直式立繪","anthropomorphic chick, arms crossed proud, transparent bg, 3:4",assets/images/narrator/jiji_proud.webp,已生成
s1_main,s1,scenario_main,1600x900 PNG,"A fake news web article screenshot showing emergency typhoon school closure announcement, red warning colors, exaggerated alert text in Traditional Chinese 超級颱風來襲！教育部已決定全臺停課三天！, poor typography with inconsistent fonts, missing official logos in top-left, suspicious timestamp showing 2025/13/45 in bottom-right, news website interface style, amateur quality intentional design flaws, photorealistic web screen --ar 16:9 --v 6","請生成一張看起來像新聞網站的假截圖：標題「超級颱風來襲！教育部已決定全臺停課三天！」、文字凌亂字體不一、左上缺少官方徽章、右下時間顯示 2025/13/45 錯誤格式、紅色警示色調、模仿 LINE TODAY 介面、16:9 橫式比例","fake news web screenshot, typhoon warning, taiwan, chinese text, red alert, sloppy typography, no logo, 16:9",assets/images/scenarios/s1/s1_main.webp,待生成
s1_msg1,s1,message_image,800x600 PNG,Taiwan Central Weather Bureau official screenshot showing 明日北部低溫 15°C 陰天有雨 with clear official logo and tidy layout 4:3 ratio,台灣中央氣象署官方截圖顯示「明日北部低溫 15°C 陰天有雨」有清楚徽章整齊版面 4:3 比例,weather bureau screenshot taiwan official logo clean layout 4:3,assets/images/scenarios/s1/s1_msg1.webp,待生成
s1_msg2,s1,message_image,800x600 PNG,TV weather broadcast scene presenter announcing 東北季風南下 沿海風力 3-4 級 professional news studio background 4:3 ratio,電視氣象播報畫面主播播報東北季風南下沿海風力 3-4 級 專業新聞台風格 4:3 比例,tv weather broadcast professional taiwan presenter 4:3,assets/images/scenarios/s1/s1_msg2.webp,待生成
