"scenario_id","source_message_order","breakpoint_id","center_x_pct","center_y_pct","tolerance_pct","width_pct","height_pct","title","description","zoom_image"
"s1","3","B1-01","10.3","17.2",,"20.5","18.6","沒有官方標誌","真正的官方新聞會有清楚的官方識別（新聞台／學校／政府單位標誌）。\n這類假訊息常在左上角放灰色頭像、模糊圖示，或直接缺少正式標誌。\n💡 記住：先看來源身分，再看內容！","assets/images/scenarios/s1/s1_zoom_B1-01.webp"
"s1","3","B1-02","42.8","88.6",,"29.6","22.3","文字排版不規則","正式公告的字體大小、字距、行距通常一致。\n假圖常出現中央偏下區塊排版凌亂、字型混雜，甚至夾雜不自然字樣（如「X號」）。\n💡 記住：排版越亂，越要提高警覺！","assets/images/scenarios/s1/s1_zoom_B1-02.webp"
"s1","3","B1-03","87.0","91.4",,"17.3","16.7","時間戳記可疑","仔細看右下角發布日期與時間，是否跟目前時間符合。\n假圖常出現不存在日期（如 2025/13/45）或時間邏輯不通。\n💡 記住：日期時間對不上，就是重要警訊！","assets/images/scenarios/s1/s1_zoom_B1-03.webp"
"s1","4","B1-04","11.1","29.3",,"13.0","20.2","來源頭像非官方","左上角是灰色轉傳頭像，缺少學校識別或正式官方頭像，來源可信度不足。\n💡 記住：先看發訊來源是不是官方帳號。","assets/images/scenarios/s1/s1_zoom_B1-04.webp"
"s1","4","B1-05","41.5","52.2",,"24.8","29.8","公告排版不正規","中間公告字體大小不一致、排版凌亂，且看不到學校正式徽章。\n💡 記住：正式公告通常有固定版型與單位識別。","assets/images/scenarios/s1/s1_zoom_B1-05.webp"
"s1","4","B1-06","46.8","78.9",,"9.4","7.8","日期時間前後矛盾","右下角時間與「明日停課」說法對不起來，屬於時間邏輯錯誤。\n💡 記住：日期、時間、事件先後要能互相對上。","assets/images/scenarios/s1/s1_zoom_B1-06.webp"
"s2","2","B2-01","82.7","9.6",,"34.5","19.1","企業 LOGO 不對勁","仔細看畫面上的企業標誌，你發現什麼了嗎？\n畫面模糊、認不出企業名。\nAI 很難精確複製真實的品牌標誌，詐騙者用這種方法假冒大企業。\n💡 記住：真正的企業捐贈會有清楚正確的品牌標誌！","assets/images/scenarios/s2/s2_zoom_B2-01.webp"
"s2","2","B2-02","37.6","68.7",,"13.0","15.0","手部細節異常","看看圖片中學生的手指，是不是有點不自然？\nAI 生成圖片最常出錯的地方就是手指（常常多或少 1 根）、或物品和身體的接觸方式很奇怪。\n💡 記住：手部和細節是 AI 圖片的破綻！","assets/images/scenarios/s2/s2_zoom_B2-02.webp"
"s2","2","B2-03","8.8","48.7",,"17.6","30.4","背景融合痕跡不正常","看看教室的桌椅、地板、櫃子的交界處，是不是有「融化」、「模糊」的感覺？\nAI 在處理多個物體的邊界時容易出錯，讓物品看起來像被「P」上去的。\n💡 記住：真實照片的物體邊界清晰銳利！","assets/images/scenarios/s2/s2_zoom_B2-03.webp"
"s2","4","B2-04","47.7","72.1",,"32.2","40.3","不合理索取敏感個資","填表單問到身分證、家長電話、住址等敏感資訊，遠超出正常活動需要的範圍。\n💡 記住：問太多隱私 = 多半是詐騙！","assets/images/scenarios/s2/s2_zoom_B2-04.webp"
