id,theme,character,scene,src,text_default,text_playful,text_epic
sci_01,scifi,robot,spaceship,./assets/images/sci_01.webp,畫出一張科幻圖片：一個友善的機器人站在未來太空船的控制室裡，正開心地按著各種發光的按鈕。,嗶嗶啵啵！一隻超可愛的機器人正在太空船裡亂按發光按鈕，看起來像是在打電動！,在浩瀚星海中，一台具備高度人工智慧的機器人正於艦橋操作複雜的儀器，引領太空船航向未知。
sci_02,scifi,robot,cybercity,./assets/images/sci_02.webp,畫出一張科幻圖片：一個友善的機器人站在充滿霓虹燈的未來賽博城市街道上，天空有飛行車經過。,哇喔！機器人跑來充滿霓虹燈的未來夜市逛街啦，頭頂上還有帥氣的飛行車呼嘯而過呢！,霓虹閃爍的賽博龐克大都會中，機器人靜靜佇立於繁華的街道，見證著高科技時代的喧囂。
sci_03,scifi,astronaut,spaceship,./assets/images/sci_03.webp,畫出一張科幻圖片：一位年輕的太空人穿著宇航服，站在太空船的窗邊，望著外面閃爍的星空。,穿著胖嘟嘟太空衣的年輕探險家，正趴在太空船的窗戶上，看著外面閃閃發亮的星星發呆！,凝視著無垠的宇宙，身穿重型防護服的太空人於觀景窗前，探索著星辰大海的神祕奧秘。
sci_04,scifi,astronaut,cybercity,./assets/images/sci_04.webp,畫出一張科幻圖片：一位年輕的太空人穿著宇航服，正在探索充滿發光全息投影的未來賽博城市。,迷路的太空人來到了超炫的未來城市！到處都是發光的立體投影，簡直像個巨大的遊樂園！,身著宇航服的探險者踏入被全息影像籠罩的未來都市，展開一場跨越科技極限的壯闊冒險。
cam_01,campus,student,classroom,./assets/images/cam_01.webp,畫出一張校園圖片：一位充滿活力的學生穿著制服，站在色彩繽紛、有著大黑板的明亮教室裡。,耶！上課囉！充滿朝氣的小學生站在超級鮮豔的教室裡，黑板上不知道畫了什麼好玩的東西？,知識的殿堂中，身穿整潔制服的學子挺立於教室，準備迎接今日豐富的學術與心智挑戰。
cam_02,campus,student,playground,./assets/images/cam_02.webp,畫出一張校園圖片：一位充滿活力的學生穿著制服，站在陽光明媚、有著紅色跑道的學校操場上。,衝啊！活力滿滿的小學生站在出大太陽的操場上，已經準備好要在跑道上大顯身手了！,陽光灑落在寬闊的田徑場上，充滿活力的學生正蓄勢待發，展現青春的汗水與運動家熱情。
cam_03,campus,teacher,classroom,./assets/images/cam_03.webp,畫出一張校園圖片：一位親切的老師手裡拿著一本書，站在色彩繽紛的小學教室裡。,溫柔的老師拿著神奇的故事書出現啦！在這麼漂亮的教室裡，今天又要講什麼有趣的故事呢？,秉持著教育的熱忱，和藹的教師手執課本，於明亮的教室中傳授著珍貴且深遠的知識。
cam_04,campus,teacher,playground,./assets/images/cam_04.webp,畫出一張校園圖片：一位親切的老師站在陽光明媚的學校操場上，正在組織一場有趣的遊戲。,體育課時間！親切的老師在出大太陽的操場上集合大家，準備玩一場超級刺激的大遊戲啦！,在烈日當空的操場上，負責的教師正井然有序地指導著戶外活動，培養學生的互助與團隊精神。
fai_01,fairy,wizard,castle,./assets/images/fai_01.webp,畫出一張童話圖片：一位戴著星空帽的可愛小魔法師，站在雄偉的童話魔法城堡前，周圍閃爍著光芒。,哇！戴著星星帽的小魔法師來到了超級華麗的城堡！他是不是準備要變出滿天的煙火呢？,在古老而莊嚴的魔法堡壘前，披星戴月的年輕巫師正施展著古老的法術，四周洋溢著神秘光輝。
fai_02,fairy,wizard,ruins,./assets/images/fai_02.webp,畫出一張童話圖片：一位戴著星空帽的可愛小魔法師，正在森林裡探索發著光的神秘古代魔法遺跡。,探險時間！小魔法師在森林裡發現了會發光的神秘石頭！這會不會是傳說中的寶藏基地？,幽暗的古老森林深處，神秘的巫師正仔細解讀著遺跡上發光的古老符文，探尋被遺忘的魔法力量。
fai_03,fairy,knight,castle,./assets/images/fai_03.webp,畫出一張童話圖片：一位穿著閃亮盔甲的勇敢小騎士，開心地站在宏偉的童話城堡前面。,鏗鏘鏗鏘！穿著亮晶晶盔甲的小騎士神氣地站在大城堡前，準備迎接今天的英雄任務！,身披重甲的英勇騎士，光榮地守護著這座宏偉的堡壘，展現出堅不可摧的意志與無畏的勇氣。
fai_04,fairy,knight,ruins,./assets/images/fai_04.webp,畫出一張童話圖片：一位穿著閃亮盔甲的勇敢小騎士，正在古代遺跡中看著發光的魔法符文。,勇敢的小騎士來到了神秘的廢墟！牆上那些發亮的神奇文字，該不會是通往秘密通道的密碼吧？,無畏的騎士踏入充滿未知危險的古老遺跡，警惕地注視著那些散發著神祕光芒的符文印記。
nat_01,nature,explorer,forest,./assets/images/nat_01.webp,畫出一張自然圖片：一位戴著探險帽的年輕探險家，站在陽光灑落、綠意盎然的茂密森林中。,出發去尋寶！戴著酷炫帽子的小探險家走進了綠油油的大森林，會不會遇見什麼可愛的小動物呢？,踏入蓊鬱的原始叢林，裝備齊全的探險家正披荊斬棘，感受著大自然生生不息的磅礴生命力。
nat_02,nature,explorer,snow,./assets/images/nat_02.webp,畫出一張自然圖片：一位穿著保暖冬裝的年輕探險家，站在風景優美的白雪皚皚高山前。,好冷好冷！包得像雪人一樣的小探險家來到了超級壯觀的雪山上，準備要堆一個大大的雪人啦！,抵禦著刺骨的嚴寒，堅韌的探險者佇立於雄偉的冰川雪峰之下，挑戰極限並敬畏著大自然的壯麗。
nat_03,nature,bear,forest,./assets/images/nat_03.webp,畫出一張自然圖片：一隻可愛的小棕熊，開心地坐在長滿野花、綠意盎然且充滿陽光的森林裡。,咕嚕咕嚕！一隻圓滾滾的小棕熊坐在開滿花朵的森林草地上，看起來好像正在等著吃蜂蜜大餐！,在陽光煦煦的繁茂森林中，野生棕熊安然棲息於百花盛開的草地，展現大自然生態的寧靜與和諧。
nat_04,nature,bear,snow,./assets/images/nat_04.webp,畫出一張自然圖片：一隻可愛的小棕熊，正在白雪皚皚的山脈背景前，開心地在雪地裡玩耍。,噗通！可愛的小棕熊在軟綿綿的白雪裡滾來滾去！後面還有超大的雪山，簡直是完美的天然遊樂場！,嚴冬的壯闊雪峰之下，無畏嚴寒的棕熊正於冰天雪地中活動，展現出強韌的生命力與原始的野性之美。
